Rank,player,club,age,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
270,David Button,Fulham,29,20,1800,-,-,2,-,-,66.1,0.6,-,6.64
261,Lamine Kone,Sunderland,29,24,2107,-,-,5,-,0.3,71.7,3.4,-,6.66
262,Christoph Zimmermann,Norwich,25,30(9),2823,1,2,5,-,0.3,87,1.8,-,6.65
263,Daniel Bentley,Brentford,24,45,4050,-,-,-,-,-,69,0.5,1,6.65
264,Daryl Murphy,Nottingham Forest,35,22(5),2020,7,-,-,-,2.3,70.1,1.9,-,6.65
265,Brad Potts,Barnsley,23,35(2),3019,3,2,4,-,1.6,76.5,2,-,6.65
266,Grant Ward,Ipswich,23,25(12),2220,2,5,3,1,0.6,70.4,0.7,-,6.65
267,Andrew Taylor,Bolton,31,20,1690,-,-,2,-,0.2,67,1.3,-,6.64
268,Darren Randolph,Middlesbrough,31,48,4320,-,-,3,-,-,50.1,0.4,-,6.64
269,Hordur Bjorgvin Magnusson,Bristol City,25,15(9),1505,-,1,-,-,0.4,69.4,2.2,-,6.64
270,David Button,Fulham,29,20,1800,-,-,2,-,-,66.1,0.6,-,6.64
271,Grant Leadbitter,Middlesbrough,32,29(3),2372,3,1,10,1,0.6,82.7,1.3,-,6.64
272,David Nugent,Derby,33,29(10),2370,9,4,5,-,1.6,65.6,2.2,2,6.64
273,Aiden O'Brien,Millwall,24,23(7),1797,4,1,1,1,1.4,73.4,1,1,6.64
274,Billy Sharp,Sheffield United,32,28(6),2361,13,4,4,-,1.6,74.3,0.7,2,6.63
275,Neil Etheridge,Cardiff,28,45,4050,-,-,1,-,-,31.8,0.4,-,6.63
276,Daniel Johnson,Preston,25,25(8),2283,3,3,7,-,0.7,77.2,0.5,-,6.63
277,George Baldock,Sheffield United,25,30(4),2683,1,1,4,-,0.9,71.6,1.3,1,6.63
278,Frank Fielding,Bristol City,30,43,3799,-,-,1,1,-,54.8,0.4,-,6.63
279,Neeskens Kebano,Fulham,26,10(17),1083,3,3,1,-,1.3,79.4,0.4,2,6.63
280,Ben Alnwick,Bolton,31,39,3466,-,1,2,-,-,41.3,0.5,-,6.63
271,Grant Leadbitter,Middlesbrough,32,29(3),2372,3,1,10,1,0.6,82.7,1.3,-,6.64
272,David Nugent,Derby,33,29(10),2370,9,4,5,-,1.6,65.6,2.2,2,6.64
273,Aiden O'Brien,Millwall,24,23(7),1797,4,1,1,1,1.4,73.4,1,1,6.64
274,Billy Sharp,Sheffield United,32,28(6),2361,13,4,4,-,1.6,74.3,0.7,2,6.63
275,Neil Etheridge,Cardiff,28,45,4050,-,-,1,-,-,31.8,0.4,-,6.63
276,Daniel Johnson,Preston,25,25(8),2283,3,3,7,-,0.7,77.2,0.5,-,6.63
277,George Baldock,Sheffield United,25,30(4),2683,1,1,4,-,0.9,71.6,1.3,1,6.63
278,Frank Fielding,Bristol City,30,43,3799,-,-,1,1,-,54.8,0.4,-,6.63
279,Neeskens Kebano,Fulham,26,10(17),1083,3,3,1,-,1.3,79.4,0.4,2,6.63
280,Ben Alnwick,Bolton,31,39,3466,-,1,2,-,-,41.3,0.5,-,6.63
281,Jordan Archer,Millwall,25,45,4050,-,-,1,-,-,40.2,0.4,2,6.63
282,Sam Gallagher,Birmingham,22,23(10),2125,6,-,4,1,1.8,50.4,4.8,3,6.62
283,Neal Maupay,Brentford,21,25(17),2321,12,4,9,-,2.2,80.5,0.4,2,6.62
284,Ryan Tunnicliffe,Millwall,25,19(5),1772,1,1,4,-,0.7,78.4,1.1,1,6.62
285,James Vaughan,Sunderland,29,15(8),1350,2,1,5,-,1.2,54.6,5.5,-,6.62
286,David Meyler,Hull,29,17(8),1562,5,2,3,1,0.8,74.8,1.5,1,6.62
287,Glenn Loovens,Sheffield Wednesday,34,20,1467,-,-,2,2,0.2,84.1,2.1,-,6.62
288,Harrison Reed,Norwich,23,36(3),3009,1,3,7,-,0.5,88,0.8,1,6.61
289,Kamohelo Mokotjo,Brentford,27,25(10),2187,1,2,-,-,0.6,86,0.3,-,6.61
290,John Swift,Reading,22,17(7),1467,2,1,4,-,1.3,80.5,0.8,1,6.61
281,Jordan Archer,Millwall,25,45,4050,-,-,1,-,-,40.2,0.4,2,6.63
282,Sam Gallagher,Birmingham,22,23(10),2125,6,-,4,1,1.8,50.4,4.8,3,6.62
283,Neal Maupay,Brentford,21,25(17),2321,12,4,9,-,2.2,80.5,0.4,2,6.62
284,Ryan Tunnicliffe,Millwall,25,19(5),1772,1,1,4,-,0.7,78.4,1.1,1,6.62
285,James Vaughan,Sunderland,29,15(8),1350,2,1,5,-,1.2,54.6,5.5,-,6.62
286,David Meyler,Hull,29,17(8),1562,5,2,3,1,0.8,74.8,1.5,1,6.62
287,Glenn Loovens,Sheffield Wednesday,34,20,1467,-,-,2,2,0.2,84.1,2.1,-,6.62
288,Harrison Reed,Norwich,23,36(3),3009,1,3,7,-,0.5,88,0.8,1,6.61
289,Kamohelo Mokotjo,Brentford,27,25(10),2187,1,2,-,-,0.6,86,0.3,-,6.61
290,John Swift,Reading,22,17(7),1467,2,1,4,-,1.3,80.5,0.8,1,6.61
291,Vito Mannone,Reading,30,41,3690,-,-,2,-,-,62.2,0.3,2,6.61
292,George Moncur,Barnsley,24,22(12),1947,2,3,1,-,1.2,83.5,0.4,-,6.61
293,Jamal Lewis,Norwich,20,19(3),1793,-,-,4,-,0.1,80.1,0.8,-,6.61
294,Billy Jones,Sunderland,31,19(3),1572,1,-,4,-,0.5,65.4,2.9,-,6.61
295,Birkir Bjarnason,Aston Villa,30,11(14),1100,3,2,1,-,1,82.8,1.1,-,6.61
296,Gaetano Berardi,Leeds,29,29(2),2557,-,-,3,3,0.3,71.1,1.7,-,6.60
297,Idrissa Sylla,Queens Park Rangers,27,13(13),1236,7,-,2,-,1.3,64.8,3,1,6.60
298,David Edwards,Reading,32,27(5),2416,3,4,4,1,0.6,78.8,1.6,1,6.60
299,Alfred N'Diaye,Wolverhampton Wanderers,28,13(20),1286,3,2,4,-,0.4,86.8,0.8,1,6.59
300,Ivo Pinto,Norwich,28,31(4),2918,2,1,5,-,0.2,79.7,0.5,-,6.59
291,Vito Mannone,Reading,30,41,3690,-,-,2,-,-,62.2,0.3,2,6.61
292,George Moncur,Barnsley,24,22(12),1947,2,3,1,-,1.2,83.5,0.4,-,6.61
293,Jamal Lewis,Norwich,20,19(3),1793,-,-,4,-,0.1,80.1,0.8,-,6.61
294,Billy Jones,Sunderland,31,19(3),1572,1,-,4,-,0.5,65.4,2.9,-,6.61
295,Birkir Bjarnason,Aston Villa,30,11(14),1100,3,2,1,-,1,82.8,1.1,-,6.61
296,Gaetano Berardi,Leeds,29,29(2),2557,-,-,3,3,0.3,71.1,1.7,-,6.60
297,Idrissa Sylla,Queens Park Rangers,27,13(13),1236,7,-,2,-,1.3,64.8,3,1,6.60
298,David Edwards,Reading,32,27(5),2416,3,4,4,1,0.6,78.8,1.6,1,6.60
299,Alfred N'Diaye,Wolverhampton Wanderers,28,13(20),1286,3,2,4,-,0.4,86.8,0.8,1,6.59
300,Ivo Pinto,Norwich,28,31(4),2918,2,1,5,-,0.2,79.7,0.5,-,6.59
301,Craig Bryson,Cardiff,31,19(3),1602,2,2,4,-,1.2,69.5,1.3,-,6.58
302,Joel Asoro,Sunderland,19,11(15),1218,3,1,2,-,1.3,70.7,1.6,-,6.58
303,Wes Hoolahan,Norwich,36,14(15),1349,1,3,-,-,0.4,80.8,0.1,1,6.58
304,Morgan Fox,Sheffield Wednesday,24,26(2),2204,-,1,2,1,0.5,72.5,1.8,-,6.58
305,Adam Matthews,Sunderland,26,25(9),2505,1,2,-,-,0.3,79.4,0.6,1,6.58
306,Cheikh N'Doye,Birmingham,32,28(9),2391,-,1,5,1,1.2,62.8,5.3,-,6.57
307,Chris Gunter,Reading,28,46,4126,1,1,6,-,0.3,71.6,1,-,6.57
308,Eunan O'Kane,Leeds,27,27(5),2241,-,3,3,1,0.1,77.7,0.8,-,6.57
309,Fraizer Campbell,Hull,30,23(13),2075,6,3,10,-,1.2,68,1.1,1,6.56
310,Yann Kermorgant,Reading,36,13(12),1309,2,1,2,1,1.4,52.8,3.6,-,6.55
301,Craig Bryson,Cardiff,31,19(3),1602,2,2,4,-,1.2,69.5,1.3,-,6.58
302,Joel Asoro,Sunderland,19,11(15),1218,3,1,2,-,1.3,70.7,1.6,-,6.58
303,Wes Hoolahan,Norwich,36,14(15),1349,1,3,-,-,0.4,80.8,0.1,1,6.58
304,Morgan Fox,Sheffield Wednesday,24,26(2),2204,-,1,2,1,0.5,72.5,1.8,-,6.58
305,Adam Matthews,Sunderland,26,25(9),2505,1,2,-,-,0.3,79.4,0.6,1,6.58
306,Cheikh N'Doye,Birmingham,32,28(9),2391,-,1,5,1,1.2,62.8,5.3,-,6.57
307,Chris Gunter,Reading,28,46,4126,1,1,6,-,0.3,71.6,1,-,6.57
308,Eunan O'Kane,Leeds,27,27(5),2241,-,3,3,1,0.1,77.7,0.8,-,6.57
309,Fraizer Campbell,Hull,30,23(13),2075,6,3,10,-,1.2,68,1.1,1,6.56
310,Yann Kermorgant,Reading,36,13(12),1309,2,1,2,1,1.4,52.8,3.6,-,6.55
311,Jon Dadi Bodvarsson,Reading,26,20(13),1766,7,1,2,-,1.5,61.9,2.8,3,6.55
312,David Brooks,Sheffield United,20,9(21),1148,3,4,5,-,1.1,79.2,0.3,-,6.54
313,Callum McManaman,Sunderland,27,13(11),1108,1,2,4,1,1.1,86.1,0.3,-,6.54
314,Filipe Morais,Bolton,32,17(16),1866,1,2,6,1,0.7,71.4,0.4,-,6.53
315,David Jones,Sheffield Wednesday,33,20(7),1791,1,1,2,-,0.6,83.7,1.4,1,6.53
316,Ross Wallace,Sheffield Wednesday,33,24(3),1952,2,2,7,-,1.6,78.5,0.3,-,6.53
317,Tyler Blackett,Reading,24,19(6),1788,-,2,1,1,0.3,78.5,1.1,-,6.53
318,Stuart Dallas,Leeds,27,14(15),1600,2,1,1,-,0.5,69,1.2,1,6.53
319,Scott Carson,Derby,32,48,4320,-,-,2,-,-,50.9,0.3,-,6.52
320,David Stockdale,Birmingham,32,36,3240,-,-,1,-,-,45.6,0.4,-,6.52
311,Jon Dadi Bodvarsson,Reading,26,20(13),1766,7,1,2,-,1.5,61.9,2.8,3,6.55
312,David Brooks,Sheffield United,20,9(21),1148,3,4,5,-,1.1,79.2,0.3,-,6.54
313,Callum McManaman,Sunderland,27,13(11),1108,1,2,4,1,1.1,86.1,0.3,-,6.54
314,Filipe Morais,Bolton,32,17(16),1866,1,2,6,1,0.7,71.4,0.4,-,6.53
315,David Jones,Sheffield Wednesday,33,20(7),1791,1,1,2,-,0.6,83.7,1.4,1,6.53
316,Ross Wallace,Sheffield Wednesday,33,24(3),1952,2,2,7,-,1.6,78.5,0.3,-,6.53
317,Tyler Blackett,Reading,24,19(6),1788,-,2,1,1,0.3,78.5,1.1,-,6.53
318,Stuart Dallas,Leeds,27,14(15),1600,2,1,1,-,0.5,69,1.2,1,6.53
319,Scott Carson,Derby,32,48,4320,-,-,2,-,-,50.9,0.3,-,6.52
320,David Stockdale,Birmingham,32,36,3240,-,-,1,-,-,45.6,0.4,-,6.52
321,Jordan Smith,Nottingham Forest,23,29,2610,-,-,-,-,-,57,0.6,3,6.51
322,Hope Akpan,Burton,26,19(7),1760,2,1,1,1,1.1,76.9,2,1,6.50
323,Andreas Bouchalakis,Nottingham Forest,25,11(10),1005,2,-,2,-,1.1,85.8,0.3,1,6.50
324,Felix Wiedwald,Leeds,28,28,2520,-,-,1,-,-,53.8,0.4,2,6.50
325,Maikel Kieftenbeld,Birmingham,27,33(2),2910,-,1,11,1,0.7,80.8,0.6,-,6.49
326,Josh McEachran,Brentford,25,14(11),1163,-,1,4,-,0.2,80.9,0.4,-,6.49
327,Lloyd Dyer,Burton,35,30(8),2901,7,2,1,-,0.8,77.7,0.6,-,6.49
328,Jamal Blackman,Sheffield United,24,31,2633,-,-,1,1,-,47.5,0.2,1,6.49
329,Rui Fonte,Fulham,28,16(11),1381,3,2,2,-,1,77.9,1,-,6.48
330,Jason McCarthy,Barnsley,22,17(4),1499,-,-,4,-,0.2,63.2,1.7,-,6.48
321,Jordan Smith,Nottingham Forest,23,29,2610,-,-,-,-,-,57,0.6,3,6.51
322,Hope Akpan,Burton,26,19(7),1760,2,1,1,1,1.1,76.9,2,1,6.50
323,Andreas Bouchalakis,Nottingham Forest,25,11(10),1005,2,-,2,-,1.1,85.8,0.3,1,6.50
324,Felix Wiedwald,Leeds,28,28,2520,-,-,1,-,-,53.8,0.4,2,6.50
325,Maikel Kieftenbeld,Birmingham,27,33(2),2910,-,1,11,1,0.7,80.8,0.6,-,6.49
326,Josh McEachran,Brentford,25,14(11),1163,-,1,4,-,0.2,80.9,0.4,-,6.49
327,Lloyd Dyer,Burton,35,30(8),2901,7,2,1,-,0.8,77.7,0.6,-,6.49
328,Jamal Blackman,Sheffield United,24,31,2633,-,-,1,1,-,47.5,0.2,1,6.49
329,Rui Fonte,Fulham,28,16(11),1381,3,2,2,-,1,77.9,1,-,6.48
330,Jason McCarthy,Barnsley,22,17(4),1499,-,-,4,-,0.2,63.2,1.7,-,6.48
331,Stephen Bywater,Burton,37,44,3960,-,-,4,-,-,37.7,0.4,2,6.48
332,Loic Damour,Cardiff,27,18(9),1673,-,1,5,-,1,68,0.5,-,6.48
333,Liam Palmer,Sheffield Wednesday,26,16(9),1592,-,2,4,-,0.4,70.5,0.3,-,6.48
334,Che Adams,Birmingham,21,16(14),1538,5,2,1,1,1.6,67.6,0.7,1,6.48
335,Josh Harrop,Preston,22,11(27),1417,2,1,5,-,0.9,80.1,0.4,-,6.47
336,Allan McGregor,Hull,36,44,3960,-,-,5,-,-,47.8,0.4,-,6.47
337,Ben Brereton,Nottingham Forest,19,25(10),2236,5,2,6,-,1.2,82.4,0.8,-,6.46
338,Aboubakar Kamara,Fulham,23,10(22),1362,7,1,7,1,1.5,78,0.6,1,6.46
339,Scott Hogan,Aston Villa,26,19(19),1894,6,2,-,-,1.3,67.8,0.7,1,6.45
340,Jordan Rhodes,Sheffield Wednesday,28,17(14),1595,5,1,1,-,1.3,60.1,2.6,1,6.45
331,Stephen Bywater,Burton,37,44,3960,-,-,4,-,-,37.7,0.4,2,6.48
332,Loic Damour,Cardiff,27,18(9),1673,-,1,5,-,1,68,0.5,-,6.48
333,Liam Palmer,Sheffield Wednesday,26,16(9),1592,-,2,4,-,0.4,70.5,0.3,-,6.48
334,Che Adams,Birmingham,21,16(14),1538,5,2,1,1,1.6,67.6,0.7,1,6.48
335,Josh Harrop,Preston,22,11(27),1417,2,1,5,-,0.9,80.1,0.4,-,6.47
336,Allan McGregor,Hull,36,44,3960,-,-,5,-,-,47.8,0.4,-,6.47
337,Ben Brereton,Nottingham Forest,19,25(10),2236,5,2,6,-,1.2,82.4,0.8,-,6.46
338,Aboubakar Kamara,Fulham,23,10(22),1362,7,1,7,1,1.5,78,0.6,1,6.46
339,Scott Hogan,Aston Villa,26,19(19),1894,6,2,-,-,1.3,67.8,0.7,1,6.45
340,Jordan Rhodes,Sheffield Wednesday,28,17(14),1595,5,1,1,-,1.3,60.1,2.6,1,6.45
341,Alex Smithies,Queens Park Rangers,28,42(1),3821,-,-,1,-,-,50.5,0.1,-,6.45
342,Tom Bradshaw,Barnsley,25,26(13),2388,9,-,2,-,2,74.6,2.1,1,6.45
343,Adam Davies,Barnsley,25,35,3150,-,-,1,-,-,40.1,0.4,1,6.44
344,Karl Henry,Bolton,35,33,2838,1,1,13,-,0.7,75.5,1,-,6.44
345,George Thorne,Derby,25,9(11),838,-,-,1,-,0.8,82.2,0.9,-,6.43
346,Clayton Donaldson,Sheffield United,34,9(17),942,5,1,2,-,0.8,66,1.6,2,6.41
347,Lynden Gooch,Sunderland,22,12(12),1101,1,3,4,-,0.9,75.5,0.3,-,6.40
348,Bright Enobakhare,Wolverhampton Wanderers,20,5(16),643,1,1,-,-,0.7,84.8,0.2,-,6.40
349,Conor Washington,Queens Park Rangers,26,24(9),2263,6,1,-,-,1.8,73.3,0.7,1,6.39
350,Chris Martin,Derby,29,5(18),837,1,-,1,-,0.8,72.2,1.7,-,6.37
341,Alex Smithies,Queens Park Rangers,28,42(1),3821,-,-,1,-,-,50.5,0.1,-,6.45
342,Tom Bradshaw,Barnsley,25,26(13),2388,9,-,2,-,2,74.6,2.1,1,6.45
343,Adam Davies,Barnsley,25,35,3150,-,-,1,-,-,40.1,0.4,1,6.44
344,Karl Henry,Bolton,35,33,2838,1,1,13,-,0.7,75.5,1,-,6.44
345,George Thorne,Derby,25,9(11),838,-,-,1,-,0.8,82.2,0.9,-,6.43
346,Clayton Donaldson,Sheffield United,34,9(17),942,5,1,2,-,0.8,66,1.6,2,6.41
347,Lynden Gooch,Sunderland,22,12(12),1101,1,3,4,-,0.9,75.5,0.3,-,6.40
348,Bright Enobakhare,Wolverhampton Wanderers,20,5(16),643,1,1,-,-,0.7,84.8,0.2,-,6.40
349,Conor Washington,Queens Park Rangers,26,24(9),2263,6,1,-,-,1.8,73.3,0.7,1,6.39
350,Chris Martin,Derby,29,5(18),837,1,-,1,-,0.8,72.2,1.7,-,6.37
351,Shane Ferguson,Millwall,26,9(15),948,-,-,2,-,0.3,68.5,0.2,-,6.36
352,Mamadou Thiam,Barnsley,23,12(17),1165,1,1,1,-,1.5,71.4,1,-,6.36
353,Jamie Mackie,Queens Park Rangers,32,16(4),1251,4,1,3,1,1.6,78.4,0.6,-,6.35
354,Adam Armstrong,Bolton,21,14(6),1118,1,-,-,-,1.7,71,0.6,-,6.34
355,Marvin Sordell,Burton,27,30(10),2652,3,1,-,-,1.4,66.1,1.1,-,6.33
356,Nouha Dicko,Hull,26,19(10),1571,4,1,-,-,1.5,77.5,0.8,-,6.33
357,Adam Le Fondre,Bolton,31,15(20),1686,7,2,2,-,1.4,70.1,1.9,1,6.32
358,William Buckley,Bolton,28,14(10),1210,2,-,2,-,1,77.3,0.4,-,6.30
359,Daryl Horgan,Preston,25,2(18),399,1,1,-,-,0.9,71.7,0.2,-,6.30
360,Robbin Ruiter,Sunderland,31,20,1800,-,-,-,-,-,43,0.3,-,6.30
351,Shane Ferguson,Millwall,26,9(15),948,-,-,2,-,0.3,68.5,0.2,-,6.36
352,Mamadou Thiam,Barnsley,23,12(17),1165,1,1,1,-,1.5,71.4,1,-,6.36
353,Jamie Mackie,Queens Park Rangers,32,16(4),1251,4,1,3,1,1.6,78.4,0.6,-,6.35
354,Adam Armstrong,Bolton,21,14(6),1118,1,-,-,-,1.7,71,0.6,-,6.34
355,Marvin Sordell,Burton,27,30(10),2652,3,1,-,-,1.4,66.1,1.1,-,6.33
356,Nouha Dicko,Hull,26,19(10),1571,4,1,-,-,1.5,77.5,0.8,-,6.33
357,Adam Le Fondre,Bolton,31,15(20),1686,7,2,2,-,1.4,70.1,1.9,1,6.32
358,William Buckley,Bolton,28,14(10),1210,2,-,2,-,1,77.3,0.4,-,6.30
359,Daryl Horgan,Preston,25,2(18),399,1,1,-,-,0.9,71.7,0.2,-,6.30
360,Robbin Ruiter,Sunderland,31,20,1800,-,-,-,-,-,43,0.3,-,6.30
361,Craig Noone,Bolton,30,6(18),807,1,-,1,-,1.2,55.6,0.3,-,6.29
362,Pelle Clement,Reading,22,10(13),1074,-,2,2,-,0.3,78.7,0.6,-,6.28
363,Jacob Butterfield,Sheffield Wednesday,27,12(8),1061,-,1,3,-,0.3,88.7,0.6,1,6.28
364,Marley Watkins,Norwich,27,12(12),1218,-,1,2,1,0.8,74,1.3,-,6.28
365,Caleb Ekuban,Leeds,24,12(8),991,1,-,1,-,1,72.9,1.4,-,6.27
366,Fred Onyedinma,Millwall,21,8(29),981,1,1,-,-,0.7,74.1,0.4,-,6.27
367,Ryan Hedges,Barnsley,22,6(17),782,2,1,-,-,0.7,62.5,-,-,6.27
368,Freddie Sears,Ipswich,28,15(21),1723,2,-,1,-,0.7,74.4,0.1,-,6.23
369,Jamie Allen,Burton,23,19(10),1725,1,-,1,-,0.7,79.2,0.7,-,6.23
370,Aaron Wilbraham,Bolton,38,3(20),378,2,1,3,-,0.6,55.2,1.6,-,6.23
361,Craig Noone,Bolton,30,6(18),807,1,-,1,-,1.2,55.6,0.3,-,6.29
362,Pelle Clement,Reading,22,10(13),1074,-,2,2,-,0.3,78.7,0.6,-,6.28
363,Jacob Butterfield,Sheffield Wednesday,27,12(8),1061,-,1,3,-,0.3,88.7,0.6,1,6.28
364,Marley Watkins,Norwich,27,12(12),1218,-,1,2,1,0.8,74,1.3,-,6.28
365,Caleb Ekuban,Leeds,24,12(8),991,1,-,1,-,1,72.9,1.4,-,6.27
366,Fred Onyedinma,Millwall,21,8(29),981,1,1,-,-,0.7,74.1,0.4,-,6.27
367,Ryan Hedges,Barnsley,22,6(17),782,2,1,-,-,0.7,62.5,-,-,6.27
368,Freddie Sears,Ipswich,28,15(21),1723,2,-,1,-,0.7,74.4,0.1,-,6.23
369,Jamie Allen,Burton,23,19(10),1725,1,-,1,-,0.7,79.2,0.7,-,6.23
370,Aaron Wilbraham,Bolton,38,3(20),378,2,1,3,-,0.6,55.2,1.6,-,6.23
371,Jay-Roy Grot,Leeds,20,1(19),301,1,1,-,-,0.3,59.6,1.3,-,6.13
371,Jay-Roy Grot,Leeds,20,1(19),301,1,1,-,-,0.3,59.6,1.3,-,6.13
371,Jay-Roy Grot,Leeds,20,1(19),301,1,1,-,-,0.3,59.6,1.3,-,6.13
1,Benjamin Verbic,FC Copenhagen,24,5,441,3,2,-,-,3,80.8,0.8,3,8.10
2,Bruno Fernandes,Sporting CP,23,6,567,3,3,1,-,4,79.9,0.3,1,8.00
3,Theo Walcott,Arsenal,29,5,423,3,2,-,-,4.2,81.1,0.4,2,7.97
4,Sergio Canales,Real Sociedad,27,6(1),557,-,6,1,-,2.9,83.3,0.3,2,7.95
5,Antoine Griezmann,Atletico Madrid,27,7(1),631,6,2,-,-,3.6,78.8,0.5,3,7.91
6,Domenico Criscito,Zenit St. Petersburg,31,9,810,1,2,3,-,0.9,75.7,1.4,1,7.81
7,Aaron Ramsey,Arsenal,27,6,540,4,1,1,-,4,83.1,0.8,-,7.80
8,Nabil Fekir,Lyon,24,8,660,3,1,2,-,2.5,85.9,0.3,3,7.73
9,Josip Ilicic,Atalanta,30,5(1),430,4,2,2,-,2.7,77.1,-,2,7.73
10,Leandro Paredes,Zenit St. Petersburg,23,6(1),545,1,3,3,-,2,85.8,0.7,-,7.71
11,Alejandro Gomez,Atalanta,30,7,606,2,2,1,-,2.9,78.7,0.3,2,7.70
12,Mesut Ozil,Arsenal,29,7,609,1,4,-,-,1,86.4,-,1,7.70
13,Felipe Anderson,Lazio,25,3(4),369,3,3,-,-,1.7,78.7,0.3,2,7.69
14,Mario Balotelli,Nice,27,6(1),527,6,1,3,-,5.4,75.9,1,2,7.69
15,Sotiris Papagiannopoulos,Oestersunds FK,27,8,720,1,-,-,-,0.6,89.6,3.3,1,7.63
16,Mehdi Bourabia,Konyaspor,26,6,540,1,-,-,-,0.8,71.1,3.2,2,7.61
17,Allan Saint-Maximin,Nice,21,4,337,2,1,1,-,2.3,75.6,0.8,-,7.60
18,Remo Freuler,Atalanta,26,8,720,1,1,1,-,1,87.8,1.3,-,7.58
19,Paulo Miranda,Salzburg,29,5,450,-,-,-,-,0.6,75.8,5.2,-,7.57
20,Kerem Demirbay,Hoffenheim,24,4,317,-,3,3,-,1.8,85.5,-,1,7.56
11,Alejandro Gomez,Atalanta,30,7,606,2,2,1,-,2.9,78.7,0.3,2,7.70
12,Mesut Ozil,Arsenal,29,7,609,1,4,-,-,1,86.4,-,1,7.70
13,Felipe Anderson,Lazio,25,3(4),369,3,3,-,-,1.7,78.7,0.3,2,7.69
14,Mario Balotelli,Nice,27,6(1),527,6,1,3,-,5.4,75.9,1,2,7.69
15,Sotiris Papagiannopoulos,Oestersunds FK,27,8,720,1,-,-,-,0.6,89.6,3.3,1,7.63
16,Mehdi Bourabia,Konyaspor,26,6,540,1,-,-,-,0.8,71.1,3.2,2,7.61
17,Allan Saint-Maximin,Nice,21,4,337,2,1,1,-,2.3,75.6,0.8,-,7.60
18,Remo Freuler,Atalanta,26,8,720,1,1,1,-,1,87.8,1.3,-,7.58
19,Paulo Miranda,Salzburg,29,5,450,-,-,-,-,0.6,75.8,5.2,-,7.57
20,Kerem Demirbay,Hoffenheim,24,4,317,-,3,3,-,1.8,85.5,-,1,7.56
21,Saul Niguez,Atletico Madrid,23,8(1),736,3,-,3,-,1.1,83.3,2.4,-,7.54
22,Luis Alberto,Lazio,25,8(1),645,1,5,-,-,1.8,80.3,0.2,1,7.54
23,Leonardo Bittencourt,FC Cologne,24,2(2),245,-,2,-,-,3,82.4,-,-,7.54
24,Dimitri Payet,Marseille,31,9(3),811,3,7,2,-,1.8,78.7,0.2,3,7.53
25,Manuel Fernandes,Lokomotiv Moscow,32,10,900,6,-,1,-,2.7,84.7,1.4,2,7.52
26,Stefan Lainer,Salzburg,25,14,1290,1,5,2,-,0.6,65.7,1.6,2,7.50
27,Mathieu Debuchy,Arsenal,32,4,354,1,-,1,-,0.8,86.9,4.8,-,7.50
28,Saman Ghoddos,Oestersunds FK,24,8,720,2,3,-,-,2.9,79.8,0.6,2,7.50
29,Naby Keita,RasenBallsport Leipzig,23,5,446,-,2,1,-,2,85.1,0.6,1,7.49
30,Timo Werner,RasenBallsport Leipzig,22,5,445,4,2,-,-,3.8,79,-,1,7.48
21,Saul Niguez,Atletico Madrid,23,8(1),736,3,-,3,-,1.1,83.3,2.4,-,7.54
22,Luis Alberto,Lazio,25,8(1),645,1,5,-,-,1.8,80.3,0.2,1,7.54
23,Leonardo Bittencourt,FC Cologne,24,2(2),245,-,2,-,-,3,82.4,-,-,7.54
24,Dimitri Payet,Marseille,31,9(3),811,3,7,2,-,1.8,78.7,0.2,3,7.53
25,Manuel Fernandes,Lokomotiv Moscow,32,10,900,6,-,1,-,2.7,84.7,1.4,2,7.52
26,Stefan Lainer,Salzburg,25,14,1290,1,5,2,-,0.6,65.7,1.6,2,7.50
27,Mathieu Debuchy,Arsenal,32,4,354,1,-,1,-,0.8,86.9,4.8,-,7.50
28,Saman Ghoddos,Oestersunds FK,24,8,720,2,3,-,-,2.9,79.8,0.6,2,7.50
29,Naby Keita,RasenBallsport Leipzig,23,5,446,-,2,1,-,2,85.1,0.6,1,7.49
30,Timo Werner,RasenBallsport Leipzig,22,5,445,4,2,-,-,3.8,79,-,1,7.48
31,Granit Xhaka,Arsenal,25,5(1),495,1,-,1,-,1.2,91.2,1.5,-,7.47
32,Ken Sema,Oestersunds FK,24,8,720,1,1,1,-,1.4,77.6,0.5,-,7.46
33,Hakan Calhanoglu,AC Milan,24,8,613,2,4,-,-,1.5,84.6,1.1,1,7.46
34,Adnan Januzaj,Real Sociedad,23,3(3),368,1,1,-,-,3.3,82.4,0.5,1,7.46
35,Artem Sukhotsky,Zorya,25,6,540,-,1,1,-,0.2,75.5,2.2,1,7.46
36,Lucas Biglia,AC Milan,32,5,450,-,-,-,-,0.6,89.9,1.6,-,7.43
37,Bogdan Planic,FC FCSB,26,6,540,-,-,-,-,0.3,79.2,2.3,-,7.43
38,Aleksandr Golovin,CSKA Moscow,22,5,450,2,-,2,-,2.8,83.1,0.8,-,7.43
39,Danny Welbeck,Arsenal,27,9(1),762,3,-,-,-,2.1,84.8,1.6,1,7.42
40,Branislav Ivanovic,Zenit St. Petersburg,34,7,615,3,2,-,-,0.7,81.8,1.6,1,7.42
31,Granit Xhaka,Arsenal,25,5(1),495,1,-,1,-,1.2,91.2,1.5,-,7.47
